"Date","領先指標綜合指數","領先指標不含趨勢指數","同時指標綜合指數","同時指標不含趨勢指數","落後指標綜合指數","落後指標不含趨勢指數","景氣對策信號綜合分數","景氣對策信號"
198201,12.26569081,99.9125219,13.12451381,106.9006953,13.13382281,106.9765182,-,-
198202,12.31869879,99.49054565,12.87193168,103.9519211,13.36497109,107.9336384,-,-
198203,12.35833574,98.96113142,12.65783156,101.3533737,13.47259057,107.8772853,-,-
198204,12.35466584,98.08884786,12.49205205,99.17428037,13.49219349,107.1143936,-,-
198205,12.3190998,96.97170129,12.37698748,97.42266931,13.4639079,105.9781186,-,-
198206,12.26830428,95.74553458,12.31785665,96.12813764,13.41646257,104.7016212,-,-
198207,12.20964994,94.46981944,12.3161664,95.29039974,13.34131523,103.2219946,-,-
198208,12.17659413,93.40229446,12.36391505,94.83611563,13.22417759,101.4346694,-,-
198209,12.18928779,92.6908163,12.45414188,94.70229019,13.05950373,99.30551014,-,-
198210,12.27267009,92.51428077,12.56542229,94.71904729,12.86671966,96.99024833,-,-
198211,12.45992277,93.10693779,12.69997105,94.89909977,12.65701717,94.57813172,-,-
198212,12.7604228,94.51842534,12.86154782,95.26631968,12.46028559,92.29414425,-,-
198301,13.1582368,96.61061486,13.03898774,95.73433702,12.32384279,90.48362823,-,-
198302,13.59206551,98.91991879,13.23834245,96.34528607,12.28282733,89.39129028,-,-
198303,14.02950963,101.2075162,13.42624364,96.85568244,12.36460788,89.19714001,-,-
198304,14.46171886,103.4116194,13.65371638,97.63425437,12.534081,89.62802643,-,-
198305,14.81848004,105.0379918,13.92184558,98.68313537,12.76636722,90.49268196,-,-
198306,15.03951071,105.6796617,14.21207968,99.8665482,13.02969492,91.55807488,-,-
198307,15.11903706,105.3236876,14.48910348,100.9367505,13.30810687,92.7094671,-,-
198308,15.06354894,104.0423688,14.74755789,101.8614774,13.58251401,93.81451183,-,-
198309,15.08554109,103.3162848,14.98289755,102.6151688,13.843293,94.81022232,-,-
198310,15.20016279,103.2361083,15.19703828,103.2169539,14.08751692,95.68118194,-,-
198311,15.3576728,103.4524193,15.41797078,103.8608544,14.31421221,96.42554986,-,-
198312,15.54095505,103.845109,15.65547653,104.6127729,14.53768925,97.1435127,-,-
198401,15.75981586,104.4762513,15.90841723,105.4639573,14.79138724,98.05866983,42,紅
198402,16.01147148,105.3229932,16.13197559,106.1183892,15.14140397,99.6022707,39,紅
198403,16.23033087,105.9529507,16.31236887,106.4913424,15.53451527,101.4133139,37,黃紅
198404,16.36563788,106.0424277,16.43633812,106.5034707,15.90424548,103.0556399,34,黃紅
198405,16.38104712,105.369258,16.51203278,106.2148164,16.22282348,104.3544571,37,黃紅
198406,16.28516136,104.003897,16.5417128,105.6454007,16.49296009,105.3340363,30,綠
198407,16.128192,102.277854,16.51387145,104.7267475,16.72795786,106.0844287,30,綠
198408,15.95731579,100.4936957,16.43452911,103.5021112,16.9375851,106.6702797,27,綠
198409,15.82029329,98.94898226,16.32138736,102.0861795,17.12427127,107.1080167,25,綠
198410,15.75004087,97.84079743,16.20192502,100.6509893,17.27476941,107.3158053,28,綠
198411,15.74704199,97.16068951,16.09161253,99.28972201,17.36961343,107.1753428,21,黃藍 
198412,15.79450395,96.79445052,15.99466508,98.02405778,17.40670862,106.6778331,21,黃藍 
198501,15.84533929,96.44643717,15.90866503,96.83476653,17.41198251,105.9853393,16,藍
198502,15.79223643,95.46493091,15.79875458,95.50713299,17.42909839,105.3629392,19,黃藍 
198503,15.64828534,93.93916618,15.61787199,93.75928311,17.50149543,105.0673015,14,藍
198504,15.44676749,92.07699394,15.44581559,92.07389733,17.57240513,104.750689,14,藍
198505,15.22603196,90.1111913,15.30110978,90.55797557,17.62021817,104.2833696,14,藍
198506,15.04210775,88.37241804,15.20339166,89.32229462,17.62082106,103.525069,12,藍
198507,14.94989568,87.17551249,15.15426102,88.36941225,17.5527727,102.355912,12,藍
198508,14.99979131,86.79987326,15.20208271,87.97257216,17.46235067,101.0524633,13,藍
198509,15.19691129,87.25602973,15.36704156,88.23484863,17.37875581,99.78575787,14,藍
198510,15.54132806,88.52487967,15.65172626,89.15559956,17.29999596,98.54449832,15,藍
198511,15.99912296,90.39534249,16.06934944,90.79390833,17.22941527,97.34843073,15,藍
198512,16.5246136,92.59690654,16.58765138,92.95182965,17.18645888,96.30735307,22,黃藍 
198601,17.05354082,94.76471653,17.14951438,95.29960881,17.18873576,95.51756144,21,黃藍 
198602,17.49453901,96.39703902,17.66557261,97.34090497,17.23877551,94.989166,19,黃藍 
198603,17.7985111,97.24058237,18.08325297,98.79754646,17.34176212,94.74642373,33,黃紅
198604,17.97138752,97.34950217,18.41496953,99.75348759,17.52106072,94.91120315,28,綠
198605,18.05532741,96.97135851,18.71205616,100.4994755,17.70603253,95.0962827,29,綠
198606,18.10082005,96.39007168,18.99001222,101.1259597,17.86260199,95.12225414,37,黃紅
198607,18.13473376,95.75539842,19.2391736,101.5876751,17.9973268,95.03041163,34,黃紅
198608,18.21835037,95.39227697,19.44749755,101.8285493,18.12959054,94.92788986,39,紅
198609,18.37786437,95.4326582,19.69277385,102.2609114,18.2773916,94.91109466,36,黃紅
198610,18.61772616,95.8922367,19.99519167,102.9869667,18.45549279,95.05661432,36,黃紅
198611,18.92424058,96.69362661,20.32004377,103.8252517,18.66934621,95.39101354,38,紅
198612,19.25550096,97.61903932,20.63109435,104.5923685,18.89797431,95.80606143,37,黃紅
198701,19.60494516,98.63532068,20.89966798,105.1485482,19.14033168,96.29713206,36,黃紅
198702,19.93427046,99.55178366,21.10147746,105.3798674,19.41589717,96.9621522,40,紅
198703,20.22818316,100.2972134,21.22488727,105.2379719,19.71224323,97.7379278,32,黃紅
198704,20.49700413,100.9281662,21.27605578,104.7628251,20.00931795,98.5254362,41,紅
198705,20.73089313,101.4006229,21.29134125,104.1402753,20.30375941,99.30981193,39,紅
198706,20.92195679,101.680734,21.30515495,103.5411951,20.57483682,99.99191274,38,紅
198707,21.05346578,101.6923093,21.33500635,103.0501018,20.79874316,100.4598998,34,黃紅
198708,21.09668269,101.3027468,21.38419047,102.6809937,20.95334024,100.6121695,36,黃紅
198709,21.09893466,100.7449882,21.42601308,102.3042283,21.0352277,100.438319,37,黃紅
198710,21.07196604,100.0772016,21.45768706,101.9063939,21.07441124,100.0861484,31,綠
198711,21.05038593,99.46396357,21.49006748,101.5385817,21.09616064,99.67740832,35,黃紅
198712,21.11159945,99.26756074,21.5120649,101.1475021,21.12307112,99.31849361,32,黃紅
198801,21.28175447,99.60360407,21.51787203,100.7054746,21.19205467,99.18062165,29,綠
198802,21.5316918,100.328365,21.51036768,100.2256521,21.12850087,98.44637758,33,黃紅
